"DBA","VIOLATION.DESCRIPTION","CRITICAL.FLAG","SCORE","GRADE","GRADE.DATE"
"maloney & porcelli","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",13,"A","05/26/2016"
"maloney & porcelli","Evidence of mice or live mice present in facility's food and/or non-food areas.","Y",13,"A","05/26/2016"
"maloney & porcelli","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",13,"A","05/26/2016"
"maloney & porcelli","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",13,"A","05/26/2016"
"buttermilk channel","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",13,"A","06/25/2016"
"buttermilk channel","Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.","Y",13,"A","06/25/2016"
"blenheim","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.","Y",17,"B","07/05/2016"
"blenheim","Evidence of mice or live mice present in facility's food and/or non-food areas.","Y",17,"B","07/05/2016"
"blenheim","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",17,"B","07/05/2016"
"blenheim","Canned food product observed dented and not segregated from other consumable food items.","N",17,"B","07/05/2016"
"gran morsi","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",13,"A","07/29/2016"
"gran morsi","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",13,"A","07/29/2016"
"gran morsi","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",13,"A","07/29/2016"
"noreetuh","Evidence of mice or live mice present in facility's food and/or non-food areas.","Y",9,"A","08/03/2016"
"noreetuh","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",9,"A","08/03/2016"
"1 darbar","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",11,"A","08/08/2016"
"gaonnuri","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",3,"A","08/08/2016"
"1 darbar","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",11,"A","08/08/2016"
"1 darbar","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",11,"A","08/08/2016"
"el toro blanco","Evidence of mice or live mice present in facility's food and/or non-food areas.","Y",10,"A","08/10/2016"
"el toro blanco","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",10,"A","08/10/2016"
"the house in gramercy park","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",11,"A","08/15/2016"
"the house in gramercy park","Proper sanitization not provided for utensil ware washing operation.","N",11,"A","08/15/2016"
"nice matin","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",7,"A","08/25/2016"
"nice matin","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",7,"A","08/25/2016"
"riverpark","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",13,"A","09/06/2016"
"riverpark","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",13,"A","09/06/2016"
"riverpark","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",13,"A","09/06/2016"
"green fig","Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.","Y",11,"A","09/23/2016"
"green fig","Canned food product observed dented and not segregated from other consumable food items.","N",11,"A","09/23/2016"
"green fig","Proper sanitization not provided for utensil ware washing operation.","N",11,"A","09/23/2016"
"state grill and bar","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",8,"A","09/29/2016"
"state grill and bar","Wiping cloths soiled or not stored in sanitizing solution.","Y",8,"A","09/29/2016"
"claudette","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",11,"A","10/05/2016"
"claudette","Proper sanitization not provided for utensil ware washing operation.","N",11,"A","10/05/2016"
"lincoln ristorante","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",11,"A","10/21/2016"
"lincoln ristorante","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",11,"A","10/21/2016"
"lincoln ristorante","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",11,"A","10/21/2016"
"the dutch","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Y",12,"A","10/21/2016"
"the dutch","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",12,"A","10/21/2016"
"vandal","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",13,"A","10/28/2016"
"vandal","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Y",13,"A","10/28/2016"
"bocca","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",13,"A","11/02/2016"
"temple court","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",12,"A","11/02/2016"
"bocca","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",13,"A","11/02/2016"
"bocca","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",13,"A","11/02/2016"
"temple court","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",12,"A","11/02/2016"
"delmonico's kitchen","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",15,"B","11/07/2016"
"delmonico's kitchen","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",15,"B","11/07/2016"
"delmonico's kitchen","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.","N",15,"B","11/07/2016"
"delmonico's kitchen","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",15,"B","11/07/2016"
"pera soho","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",8,"A","11/21/2016"
"pera soho","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",8,"A","11/21/2016"
"vaucluse","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",7,"A","11/22/2016"
"vaucluse","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",7,"A","11/22/2016"
"bar italia","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",3,"A","12/12/2016"
"root & bone","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",2,"A","12/21/2016"
"bar boulud","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.","N",13,"A","12/22/2016"
"bar boulud","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",13,"A","12/22/2016"
"bar boulud","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Y",13,"A","12/22/2016"
"bar boulud","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",13,"A","12/22/2016"
"buttermilk channel","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",5,"A","12/23/2016"
"la fonda del sol","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",12,"A","01/10/2017"
"la fonda del sol","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",12,"A","01/10/2017"
"la fonda del sol","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",12,"A","01/10/2017"
"abc kitchen","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",4,"A","01/11/2017"
"massoni","Hot food item not held at or above 140o F.","Y",11,"A","01/17/2017"
"massoni","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",11,"A","01/17/2017"
"massoni","Proper sanitization not provided for utensil ware washing operation.","N",11,"A","01/17/2017"
