"name","street_address","google_map","review_count","phone","website","restaurant_type","average_review","food_review","service_review","ambience_review","value_review","price_range","star_1","star_2","star_3","star_4","star_5","description","restaurant_main_type","latitude","longitude","postal_code","violation_count"
"the musket room","265 Elizabeth St. CI New York, NY  10012","//www.google.com/maps/search/?api=1&query=40.7238560%2C-73.993735",768,"(212) 219-0764","http://www.musketroom.com/","International",4.8768,4.7,4.7,4.6,4.2,"$31 to $50",0,1,3,15,81,"The Musket Room brings the spirit of New Zealand and the country’s diverse cuisine to Manhattan’s Nolita neighborhood. Chef and owner Matt Lambert, a New Zealand native, created a menu that charts the evolution of New Zealand cuisine, from the country’s Old World traditions and Asian influences to its modern day dedication to local and seasonal offerings. Inspired by an era in New Zealand when adventure and discovery blossomed, The Musket Room offers a modern approach to the country’s culinary past, serving dinner and drinks.Reservations made through Opentable will secure you a reservation in either the main dining room or garden room, where we offer both a la carte  and the short  tasting menu. The tasting menu must be booked in advance. Please let us know if you or any of your guests have an allergy or dietary restriction. We can accommodate for vegetarians with our tasting menu and al a carte for vegan diners with 24hr notice.  ","Other",40.7239263,-73.9938218,10012,7
"benjamin steakhouse prime","23 E 40th St. New York, NY  10016","//www.google.com/maps/search/?api=1&query=40.7514370%2C-73.979977",356,"(212) 338-0818","http://www.benjaminsteakhouse.com/","American",4.8356,4.7,4.8,4.6,4.3,"$50 and over",0,1,4,13,82,"After ten years of continued success in the New York metro area, Benjamin Restaurant Group is proud to open its newest space, Benjamin Steakhouse Prime. Here, modern elegance is combined with traditional steakhouse classics, while also showcasing signature standouts from highly regarded sister property Benjamin Steakhouse. After perfecting both steakhouse and seafood concepts in their arsenal, Benjamin Restaurant Group is highlighting the grill at Prime, serving up USDA prime dry aged steaks and succulent seafood in unique ways. The 10,000 square foot space houses an expansive main dining room featuring wall mounted fireplaces. A temperature-controlled wine wall is exposed throughout the upper level which also offers five customizable private dining spaces for seating of up to 100+ guests.","American",40.7514995,-73.9799312,10016,8
"club a steakhouse","240 East 58th Street New York, NY  10022","//www.google.com/maps/search/?api=1&query=40.7605260%2C-73.96609",3371,"(212) 688-4190","http://clubasteakhouse.com/","Steakhouse",4.83371,4.7,4.8,4.7,4.6,"$31 to $50",1,1,4,10,84,"Club A Steakhouse provides a truly unique dining experience. Family owned and operated the owner Bruno Selimaj or one of his three sons are onsite and greets each guest every night. Club A manages to encompass the characteristics of a traditional steak house and new world modernism that is evident in both the menu and décor. The warmth paired with the distinct menu and extensive wine list make it perfect for any occasion. Please note that Club A Steakhouse will honor your Groupon reservations however OpenTable Diner Rewards points will not be received.","Steakhouse",40.7600512,-73.9655781,10022,7
"meet the meat","23-92 21st Street Astoria, NY  11105","//www.google.com/maps/search/?api=1&query=40.7771740%2C-73.921291",191,"(917) 832-7984","http://meetthemeat.net/","Steakhouse",4.8191,4.7,4.8,4.6,4.5,"$31 to $50",0,2,2,14,82,"Meet the Meat is a steakhouse located in the heart of Astoria. Using the finest quality meats we prepare a variety of cuts such as filet mignon, porter house, ribeye , prime sirloin, and sliced steak. Our specialty is steaks, but we also serve a selection of other fine dishes such as lamb chops, grilled chicken breast, salmon, branzino, as well as burgers and pasta options. It's our goal to grill the most delectable steaks in Astoria with a commitment to freshness and flavor in every bite. Your complete satisfaction is our top priority here at Meet the Meat. We welcome you into our cozy and relaxing restaurant to enjoy a meal with friends, family, or that special someone. Come savor one of our delicious, juicy steaks. We promise you will leave our restaurant happy and full.","Steakhouse",40.7770481,-73.9214503,11105,6
"pig and khao","68 Clinton Street New York, NY  10002","//www.google.com/maps/search/?api=1&query=40.7192500%2C-73.984737",979,"(212) 920-4485","http://www.pigandkhao.com/","Southeast Asian",4.7979,4.7,4.5,4.3,4.4,"$31 to $50",1,1,5,16,77,"Top Chef contestant Leah Cohen's Pig and Khao (68 Clinton Street) on the Lower East Side. The Southeast Asian inspired cuisine offers a variety of Thai and Filipino influences on the menu including Crispy Pata and pickled mango salad (pork shank cooked in soy sauce and five spice garnished with coriander, crispy garlic served with a secret family recipe sweet and sour liver dipping sauce), Grilled Pork Jowl and Brussels Sprouts Salad (chili lime fish sauce, shallot, herbs and toasted rice) and Crispy Pork Belly Adobo (Szechuan peppercorn, coconut vinegar, soy sauce, bay leaves, crispy garlic, scallion and soft boiled egg). Drinks range from cheap canned beer, wine, cocktails, and a self-serve bottomless tap in the backyard","Southeast Asian",40.7192718,-73.9848038,10002,13
"aretsky's patroon","160 East 46th Street New York, NY  10017","//www.google.com/maps/search/?api=1&query=40.7536220%2C-73.973695",908,"(212) 883-7373","http://www.aretskyspatroon.com/","American",4.7908,4.7,4.7,4.6,4.2,"$31 to $50",1,1,2,17,79,"Welcome to Aretsky's Patroon, a classic New York City restaurant, owned by legendary restaurateur Ken Aretsky. Aretsky's Patroon offers superb contemporary American cuisine, warm, polished service and beautiful rooms suitable for a wide range of events. Whether you visit us for drinks and a light bite on our rooftop bar, a power lunch in our festive main dining room, or a discreet business dinner in one of our many private event spaces, we know that you will have a superb experience.","American",40.7533599,-73.9732416,10017,7
"abc kitchen","35 East 18th Street New York, NY  10003","//www.google.com/maps/search/?api=1&query=40.7377830%2C-73.989714",6031,"(212) 475-5829","http://www.abckitchennyc.com/","Contemporary American",4.76031,4.6,4.4,4.6,4.1,"$31 to $50",1,2,5,15,77,"ABC Kitchen with Jean-Georges: passionately committed to offering the freshest organic and local ingredients possible.ABC Kitchen presents a changing menu that is locally sourced and globally artistic in a fresh and articulate space.","Contemporary American",40.7378971,-73.9894995,10003,7
"danji","346 West 52nd Street New York, NY  10019","//www.google.com/maps/search/?api=1&query=40.7640010%2C-73.986873",595,"(212) 586-2880","http://www.danjinyc.com/","Korean",4.7595,4.7,4.5,4.3,4.2,"$31 to $50",0,1,5,21,73,"Danji showcases authentic Korean flavors prepared with classic techniques to enhance the taste, textures, and aesthetic of each dish. We offer small but shareable portions served in multiple courses, allowing diners to enjoy each dish hot out of the kitchen. Above all, Danji, from its decor to its music, represents our idea of a great place to enjoy amazing food.At Danji and Hanjan we choose to use meat raised with no antibiotics or growth hormones. Our fish are caught wild and are not overfished and endangered. We try to use as much organic and local produce as possible and certainly do not use chemicals, such as MSG, to enhance flavors. No doubt these ingredients cost more but we believe the food we consume should be healthy and responsible as well as delicious.","Japanese & Koren",40.7640352,-73.9868366,10019,6
"buttermilk channel","524 Court Street Brooklyn, NY  11231","//www.google.com/maps/search/?api=1&query=40.6759850%2C-73.999214",524,"(718) 852-8490","http://buttermilkchannelnyc.com/","American",4.7524,4.7,4.7,4.6,4.4,"$31 to $50",1,1,2,16,80,"Buttermilk Channel is an American bistro located in the Carroll Gardens neighborhood of Brooklyn, serving dinner, brunch, and weekday lunch. The menu offers a mix of American regional classics and signature dishes. The restaurant is best known for its buttermilk fried chicken with cheddar waffles but also features fresh local fish and shellfish. A separate vegetarian menu is available at dinner and the menus always include vegan, gluten free, and dairy free options. The wine list celebrates the small, traditional wineries of America and France and includes organic and biodynamic wines. The full bar includes craft beers and a list of specialty cocktails made from artisan spirits. Open for dinner and brunch.","American",40.6759857,-73.9992141,11231,5
"craft","43 E. 19th St. New York, NY  10003","//www.google.com/maps/search/?api=1&query=40.7383870%2C-73.989275",5098,"(212) 780-0880","http://www.craftrestaurant.com/","American",4.75098,4.7,4.7,4.6,4.1,"$50 and over",1,2,4,14,79,"Simply-prepared American fare showcasing pristine seasonal ingredients sourced from family farms, day boat fishermen and specialized ranchers enjoyed in an elegantly understated space.  Awarded three stars by the New York Times, Craft received the prestigious James Beard Award for Best New Restaurant in 2002 and Tom Colicchio received the James Beard Award for Best Chef in 2010. ","American",40.7381819,-73.9886502,10003,7
