"","X","name","food_review","ambience_review","value_review","service_review","price_range","review_count","average_review","restaurant_main_type"
"1",1,"STK - NYC - Meatpacking",4.3,4.3,3.9,4.3,"$50 and over","2423 Reviews","4.3","Steakhouse"
"2",2,"Pera Soho",4.3,4.6,4.2,4.3,"$31 to $50","915 Reviews","4.5","Mediterranean"
"3",3,"The Smith - Nomad",4.6,4.4,4.2,4.4,"$30 and under","3130 Reviews","4.7","American"
"4",4,"ilili",4.7,4.5,4.2,4.5,"$31 to $50","6290 Reviews","4.6","Lebanese"
"5",5," Boucherie - Union Square",4.4,4.4,4,4.4,"$31 to $50","1018 Reviews","4.5","French"
"6",6," Castell Rooftop Lounge",4.2,4.6,4.1,4.5,"$31 to $50","114 Reviews","4.5","Bar / Lounge / Bottle Service"
"7",7," Quality Italian - New York",4.7,4.5,4.1,4.6,"$31 to $50","3361 Reviews","4.7","Steakhouse"
"8",8," Baby Brasa Organic",4.4,4.3,3.9,3.9,"$31 to $50","264 Reviews","4.3","Peruvian"
"9",9," Seamore's - Chelsea",4.5,4.3,4.2,4.4,"$31 to $50","267 Reviews","4.5","Seafood"
"10",10," Lupa",4.6,4.5,4.3,4.6,"$30 and under","5351 Reviews","4.7","Italian"
"11",11," Socarrat Paella Bar - Chelsea",4.6,4.6,4.2,4.7,"$31 to $50","1489 Reviews","4.7","Spanish"
"12",12," Casa Mono",4.7,4.5,4.3,4.6,"$31 to $50","1651 Reviews","4.7","Spanish"
"13",13," Petite Boucherie",4.5,4.6,4.2,4.5,"$31 to $50","677 Reviews","4.6","French"
"14",14," Copinette",4.5,4.4,4.3,4.5,"$30 and under","396 Reviews","4.6","American"
"15",15," Ainsworth Midtown",4.2,4.2,3.9,4,"$31 to $50","189 Reviews","4.3","Contemporary American"
"16",16,"Il Gattopardo",4.6,4.5,4.2,4.7,"$50 and over","1582 Reviews","4.7","Italian"
"17",17,"The Capital Grille - NY - Rockefeller Center",4.6,4.5,4.2,4.5,"$50 and over","4385 Reviews","4.6","Steakhouse"
"18",18,"Quality Bistro",4.6,4.7,4.1,4.6,"$31 to $50","70 Reviews","4.7","Steakhouse"
"19",19," Crave Fishbar - Midtown",4.7,4.4,4.3,4.6,"$30 and under","2023 Reviews","4.7","Seafood"
"20",20," Javelina - Union Square",4.6,4.4,4.4,4.5,"$31 to $50","647 Reviews","4.7","Tex-Mex"
"21",21," Extra Virgin Restaurant",4.5,4.5,4.2,4.3,"$30 and under","789 Reviews","4.6","Mediterranean"
"22",22," The Leopard at des Artistes",4.6,4.8,4.2,4.7,"$50 and over","1981 Reviews","4.7","Italian"
"23",23," Socarrat Paella Bar - Midtown East",4.4,4.3,4,4.4,"$31 to $50","845 Reviews","4.4","Spanish"
"24",24,"Tarallucci e Vino NoMad",4.5,4.5,4.3,4.6,"$31 to $50","250 Reviews","4.6","Italian"
"25",25,"Tito Murphy's",4.3,4.5,4.3,4.3,"$30 and under","80 Reviews","4.5","Mexican"
"26",26,"Bazar Tapas Bar and Restaurant",4.3,4.2,4.1,4.2,"$31 to $50","252 Reviews","4.4","Tapas / Small Plates"
"27",27,"Sushi Ryusei",4.8,4.6,4.4,4.7,"$50 and over","135 Reviews","4.8","Sushi"
"28",28," Blue Ribbon Sushi Bar & Grill",4.6,4.2,4.1,4.6,"$50 and over","28 Reviews","4.6","Sushi"
"29",29," EN Japanese Brasserie",4.5,4.5,3.9,4.3,"$31 to $50","2293 Reviews","4.5","Japanese"
"30",30," The Meatball Shop - Chelsea",4.7,4.6,4.6,4.8,"$30 and under","74 Reviews","4.8","American"
"31",31," Hortus NYC",4.6,4.6,4.4,4.5,"$50 and over","54 Reviews","4.7","Contemporary Asian"
"32",32," TacoVision",4.6,4.4,4.4,4.3,"$30 and under","68 Reviews","4.5","Mexican"
"33",33," Marseille",4.5,4.5,4.2,4.5,"$31 to $50","6815 Reviews","4.5","French"
"34",34," HYUN",4.6,4.7,4.1,4.6,"$50 and over","31 Reviews","4.6","Korean"
"35",35," MAMO Restaurant",4.7,4.7,4.4,4.6,"$31 to $50","795 Reviews","4.7","Italian"
"36",36," Sestina",4.6,4.6,4.4,4.7,"$31 to $50","49 Reviews","4.6","Contemporary Italian"
"37",37,"aRoqa",4.6,4.1,4.1,4.5,"$31 to $50","402 Reviews","4.5","Indian"
"38",38,"Benoit Restaurant and Wine Bar",4.5,4.4,4.1,4.4,"$31 to $50","3723 Reviews","4.5","French"
"39",39,"The Leroy House",4.6,4.7,4.3,4.6,"$31 to $50","277 Reviews","4.7","American"
"40",40,"THE MEATBALL SHOP - HELL'S KITCHEN",4.6,4.4,4.5,4.6,"$30 and under","150 Reviews","4.6","American"
"41",41," Mojo Omakase",4.7,4.4,4.4,4.7,"$31 to $50","32 Reviews","4.7","Japanese"
"42",42," Tortaria",4.4,4.3,4.4,4.1,"$30 and under","18 Reviews","4.5","Mexican"
"43",43," Sauce",4.6,4.6,4.5,4.6,"$31 to $50","823 Reviews","4.7","Italian"
"44",44," BAAR BAAR",4.6,4.5,4.1,4.4,"$31 to $50","433 Reviews","4.6","Contemporary Indian"
"45",45," Jubilee 1st Avenue",4.6,4.5,4.3,4.6,"$31 to $50","1493 Reviews","4.7","French"
"46",46," BLT Steak",4.5,4.2,4.2,4.6,"$50 and over","2828 Reviews","4.5","American"
"47",47," Cardoncello diVino",4.7,4.6,4.5,4.8,"$30 and under","289 Reviews","4.8","Italian"
"48",48," ART SoHo",3.9,4.5,3.8,4,"$50 and over","72 Reviews","4.3","Cocktail Bar"
"49",49," Il Melograno",4.7,4.5,4.6,4.8,"$30 and under","613 Reviews","4.7","Italian"
"50",50," Majorelle",4.8,4.9,4.3,4.9,"$50 and over","519 Reviews","4.8","French"
"51",51," Essex",4.3,4.3,4.2,4.3,"$31 to $50","2608 Reviews","4.4","Fusion / Eclectic"
"52",52,"Tableside Italian Cook Shoppe",4.7,4.6,4.6,4.7,"$30 and under","339 Reviews","4.7","Italian"
"53",53,"Lamia's Fish Market",4.3,4.6,4.2,4.1,"$31 to $50","220 Reviews","4.3","Seafood"
"54",54,"Ousia",4.6,4.6,4.3,4.6,"$31 to $50","887 Reviews","4.6","Mediterranean"
"55",55,"MIFUNE New York",4.5,4.5,4.2,4.6,"$31 to $50","349 Reviews","4.6","French / Japanese"
"56",56,"Pera Mediterranean Brasserie",4.4,4.3,4,4.3,"$31 to $50","1951 Reviews","4.4","Mediterranean"
"57",57,"High Street on Hudson",4.4,4.4,4.1,4.5,"$31 to $50","492 Reviews","4.5","Seafood"
"58",58," Cuba",4.6,4.5,4.5,4.5,"$30 and under","2253 Reviews","4.6","Cuban"
"59",59," Zia Maria Ristorante and Pizzeria",4.3,4.2,4.2,4.3,"$30 and under","167 Reviews","4.4","Italian"
"60",60," Paul & Jimmy's Ristorante",4.7,4.5,4.4,4.6,"$31 to $50","554 Reviews","4.6","Italian"
"61",61," Soothr",4.9,4.6,4.7,4.7,"$30 and under","12 Reviews","4.8","Thai"
"62",62," Delice & Sarrasin",4.6,4.5,4.4,4.6,"$31 to $50","806 Reviews","4.6","Vegan"
"63",63," Samwon Garden",4.7,4.5,4.3,4.6,"$31 to $50","153 Reviews","4.7","Korean"
"64",64," Sushi Nonaka",4.8,4.8,4.5,4.7,"$50 and over","111 Reviews","4.8","Sushi"
"66",66," Socarrat Paella Bar - Nolita",4.5,4.5,4.2,4.6,"$31 to $50","830 Reviews","4.6","Spanish"
"67",67," Osteria Delbianco",4.8,4.5,4.6,4.8,"$31 to $50","25 Reviews","4.7","Italian"
"68",68," Nizza - NYC",4.5,4.3,4.4,4.7,"$30 and under","3124 Reviews","4.6","Italian"
"69",69,"Bowery Road",4.4,4.3,4.2,4.3,"$30 and under","366 Reviews","4.5","American"
"70",70,"Bann Restaurant",4.6,4.3,4.3,4.4,"$31 to $50","1565 Reviews","4.6","Korean"
"71",71,"Bread & Tulips",4.5,4.4,4.3,4.6,"$30 and under","609 Reviews","4.6","Italian"
"72",72,"Nizza - NYC",4.5,4.3,4.4,4.7,"$30 and under","3124 Reviews","4.6","Italian"
"73",73,"Pappardella",4.5,4.4,4.3,4.4,"$31 to $50","1555 Reviews","4.5","Italian"
"74",74,"Nice Matin",4.4,4.3,4.2,4.5,"$31 to $50","2840 Reviews","4.5","French"
"75",75,"Sushi Teru Omakase",4.8,4.3,4.4,4.9,"$50 and over","16 Reviews","4.9","Japanese"
"76",76," Le Rivage",4.6,4.5,4.4,4.6,"$31 to $50","5333 Reviews","4.6","French"
"77",77," Pierre Loti Union Square",4.2,4.5,4.1,4.2,"$30 and under","125 Reviews","4.4","Mediterranean"
"78",78," Chez Josephine",4.5,4.6,4.3,4.5,"$31 to $50","5996 Reviews","4.5","French"
"79",79," The Woo",4.6,4.4,4.3,4.5,"$50 and over","205 Reviews","4.7","Korean"
"80",80," Campagnola",4.7,4.6,4.2,4.7,"$50 and over","398 Reviews","4.7","Italian"
"81",81," Allora",4.5,4.4,4.2,4.5,"$31 to $50","436 Reviews","4.6","Italian"
"82",82," Serafina Tribeca",4.5,4.3,4.1,4.3,"$31 to $50","240 Reviews","4.6","Italian"
"83",83," Khe-Yo",4.6,4.5,4.2,4.5,"$31 to $50","1004 Reviews","4.6","Laotian"
"84",84," PJ Clarkes on the Hudson",4.4,4.6,4.1,4.5,"$31 to $50","240 Reviews","4.6","American"
"85",85," Tarallucci e Vino East Village",4.5,4.4,4.2,4.5,"$31 to $50","78 Reviews","4.5","Italian"
"86",86," Yves",4.6,4.6,4.3,4.5,"$31 to $50","110 Reviews","4.7","French"
"87",87," BLT Prime",4.3,4.1,3.9,4.3,"Booked 0 times today","Booked 19 times today","Booked 0 times today","Booked 36 times today"
"88",88,"Misirizzi",4.3,4.4,4.2,4.6,"$30 and under","283 Reviews","4.4","Italian"
"89",89,"Biricchino",4.5,4.3,4.3,4.5,"$31 to $50","405 Reviews","4.6","Italian"
"91",91,"' BAR VERDE",4.8,4.5,4.3,4.5,"$31 to $50","297 Reviews","4.7","Mexican"
"92",92," ATLA",4.7,4.3,4.1,4.5,"$30 and under","115 Reviews","4.7","Mexican"
"93",93," Crispin's",4.7,4.8,4.6,4.8,"$31 to $50","28 Reviews","4.8","Italian"
"94",94," Serafina Ludlow",4.5,4.4,4.3,4.6,"$30 and under","121 Reviews","4.6","Italian"
"95",95," Fonda Chelsea",4.7,4.4,4.3,4.4,"$31 to $50","610 Reviews","4.6","Mexican"
"96",96," North Square",4.5,4.2,4.4,4.5,"$31 to $50","1922 Reviews","4.5","American"
"97",97," Lattanzi",4.6,4.6,4.3,4.6,"$50 and over","5118 Reviews","4.6","Italian"
"98",98," PASTA EATER",4.7,4.3,4.6,4.6,"$31 to $50","7 Reviews","4.6","Italian"
"99",99," Island",4.4,4.4,4.1,4.5,"$31 to $50","356 Reviews","4.5","American"
"100",100," Seamore's Brookfield Place",4.5,4.3,4.1,4.4,"$31 to $50","133 Reviews","4.6","Seafood"
"101",101," Shaking Crab - Hell's Kitchen",4.1,3.7,4,4.4,"$30 and under","13 Reviews","4.2","Seafood"
"102",102," Tacuba Hell's Kitchen",4.5,4.4,4.2,4.4,"$30 and under","1010 Reviews","4.6","Mexican"
"103",103," Javelina - UES",4.6,4.1,4.1,4.3,"$31 to $50","64 Reviews","4.5","Tex-Mex"
"104",104," Croton Reservoir Tavern",4.3,4,4,4.3,"$30 and under","899 Reviews","4.4","Bar / Lounge / Bottle Service"
"105",105,"Gran Morsi",4.6,4.6,4.2,4.6,"$31 to $50","486 Reviews","4.7","Italian"
"106",106,"Luthun",4.9,4.8,4.9,5,"$50 and over","14 Reviews","4.9","Contemporary American"
"107",107,"Merchants River House",4.4,4.5,4.2,4.4,"$31 to $50","1184 Reviews","4.5","American"
"108",108,"Turkish Cuisine",4.6,4.5,4.5,4.8,"$31 to $50","211 Reviews","4.7","Turkish"
"109",109,"Max - Tribeca",4.6,4.5,4.5,4.5,"$30 and under","532 Reviews","4.6","Italian"
"110",110,"Del Frisco's Grille - Brookfield Place",4.3,4.2,3.8,4.2,"$30 and under","421 Reviews","4.3","Steakhouse"
"111",111," IL Divo",4.5,4.6,4,4.6,"$31 to $50","207 Reviews","4.5","Italian"
"112",112," 27 Morton",4.7,4.5,4.6,4.7,"$31 to $50","47 Reviews","4.7","Eastern European"
"113",113," Red Peony",4.3,3.9,4,4.2,"$30 and under","110 Reviews","4.2","Chinese"
"114",114," The Milling Room",4.5,4.7,4.2,4.5,"$31 to $50","1816 Reviews","4.7","American"
"115",115," Trattoria iL Gusto Wine Bar",4.4,4.4,4.3,4.4,"$30 and under","199 Reviews","4.4","Italian"
"116",116," French Roast Uptown",4.4,4.4,4.2,4.4,"$31 to $50","223 Reviews","4.4","French American"
"117",117," Paisley Restaurant",4.5,4.5,4.3,4.5,"$31 to $50","60 Reviews","4.5","Indian"
"118",118," Gigino at Wagner Park",4.5,4.6,4.2,4.5,"$30 and under","1628 Reviews","4.6","Italian"
"119",119," Turkuaz Restaurant",4.3,3.9,4.1,4.3,"Booked 5 times today","Booked 0 times today","Booked 0 times today","Booked 6 times today"
"120",120," La Nacional Restaurant",4.6,4.4,4.5,4.3,"$30 and under","205 Reviews","4.6","Spanish"
"121",121," Bodrum Turkish Mediterranean",4.6,4.3,4.5,4.5,"$30 and under","989 Reviews","4.6","Turkish"
"122",122,"Brick Lane Curry House",4.5,4,4.4,4.6,"$30 and under","481 Reviews","4.4","Indian"
"123",123,"Boulton and Watt",4.6,4.4,4.4,4.3,"$30 and under","451 Reviews","4.6","Comfort Food"
"124",124,"Sabai Thai Restaurant",4.7,4.6,4.4,4.7,"$30 and under","300 Reviews","4.7","Thai"
"125",125," Bistrot Leo",4.3,4.5,3.9,4.4,"$50 and over","79 Reviews","4.4","French"
"126",126," Sandro's Restaurant",4.8,4.7,4.5,4.9,"$50 and over","358 Reviews","4.8","Italian"
"127",127," Piacere",4.4,4.5,4.4,4.5,"$31 to $50","182 Reviews","4.4","Italian"
"128",128," Westville Wall Street",4.6,4.2,4.4,4.6,"$30 and under","111 Reviews","4.7","American"
"129",129," IL Piccolo Ristoro",4.6,4.5,4.4,4.5,"$31 to $50","13 Reviews","4.6","Italian"
"130",130," Cafe d'Alsace",4.6,4.5,4.3,4.6,"$31 to $50","2119 Reviews","4.6","French"
"131",131," La Grande Boucherie",4.3,4.1,3.6,4.1,"$50 and over","2 Reviews","4.5","French"
"132",132," 5 Napkin Burger - Upper West Side",4.5,4.2,4.2,4.4,"$30 and under","1324 Reviews","4.6","American"
"133",133," Gigino Trattoria",4.6,4.4,4.3,4.5,"$30 and under","1000 Reviews","4.6","Italian"
"134",134," Miramar",4.5,4.5,4.4,4.4,"$30 and under","139 Reviews","4.5","Seafood"
